symbol,timestamp,close,avg20_vol,prob_up_1d,pred_ret_1d_pct,pred_ret_3d_pct,pred_ret_5d_pct,pred_std_5d,prob_up_5d,D_atr14,D_cpr_width_pct,long_score,short_score,bias,global_hits,actionable
TVSMOTOR,2025-12-23 00:00:00+05:30,3686.5,566024.0,0.8047638436482085,,1.1241261529769533,1.3711012222040968,3.6186092654544577,0.6476199289857067,64.80740615353989,-0.14919300149193,6.5,0.0,LONG,298,True
ORIENTCEM,2025-12-23 00:00:00+05:30,171.01,911683.1,0.4030357142857143,,2.6532017080650805,1.329099478933166,5.683987115398331,0.5924423495247667,6.163413259890291,-1.3995282926924253,5.0,2.5,LONG,298,True
SBISILVER,2025-12-23 00:00:00+05:30,206.97,3420480.6,0.9146410401356698,,1.7891175215704171,1.2788122532766273,4.272502841253865,0.6176490150236815,5.706879578972157,-0.0628110354157585,8.0,0.5,LONG,298,True
VENKEYS,2025-12-23 00:00:00+05:30,1450.4,325843.05,0.9384898710865561,,0.7105088977409307,1.1974176710033735,4.506724033957664,0.6047631956326556,41.1068535320634,0.4021879021879126,5.0,2.5,LONG,298,True
MARUTI,2025-12-23 00:00:00+05:30,16585.0,291679.45,0.7905789990186459,,1.2239074548518543,0.9701713920648797,3.0900577944495247,0.6232262961256101,227.834676193445,-0.2170636116973168,8.0,0.5,LONG,298,True
TOP10ADD,2025-12-23 00:00:00+05:30,102.24,407610.5,0.9384898710865561,,1.0421004576034965,0.8920088640183725,1.8173270891884408,0.6882286433882554,1.022720833235394,0.0097809076682505,6.5,0.0,LONG,298,True
360ONE,2025-12-23 00:00:00+05:30,1181.7,710436.9,0.6970462004544306,,0.31777895293735214,0.8679712642931986,4.673364025146311,0.573670678621497,33.22470037506583,0.5303094412005482,7.5,0.5,LONG,298,True
SANDUMA,2025-12-23 00:00:00+05:30,227.3,3697273.9,0.8047638436482085,,0.8016502322869427,0.8461211156732771,7.2889683193280685,0.5462064390684367,10.558625227419816,0.0586596275113619,7.0,0.0,LONG,298,True
LIQUIDADD,2025-12-23 00:00:00+05:30,1105.7,522941.1,0.9254460093896714,,-0.18878858337039306,0.8160599199840691,1.4689002822083996,0.7107436533639457,0.4485211018329183,-0.0006029362997793,7.5,0.5,LONG,298,True
IDFCFIRSTB,2025-12-23 00:00:00+05:30,85.0,25898210.0,0.5985838779956427,,1.0166696047055863,0.7452871682675049,3.8895275207586812,0.5759776207153458,1.6226880071554015,-0.2117647058823609,8.0,0.0,LONG,298,True
SIGNATURE,2025-12-23 00:00:00+05:30,1140.4,271527.75,0.8047638436482085,,0.8505622357351981,0.6820320669745039,4.6685731377062485,0.5580748712640938,21.10329369813964,-0.0409213141587773,3.5,2.0,LONG,298,True
RALLIS,2025-12-23 00:00:00+05:30,275.0,723740.8,0.3552887162281478,,0.5428162882701874,0.6316755334200913,4.858541216211012,0.5517221301482212,7.822957052930888,0.1818181818181818,5.0,2.5,LONG,298,True
BLISSGVS,2025-12-23 00:00:00+05:30,179.0,5193695.9,0.24647015110230364,,-0.12169768471226938,0.5575928856227905,6.165680623881131,0.5360292633682116,9.647022234776056,0.4711359404096678,8.5,0.0,LONG,298,True
ABCAPITAL,2025-12-23 00:00:00+05:30,346.8,4074629.3,0.8047638436482085,,0.45191735341736633,0.5501564086308118,4.2862658535548865,0.5510653488060067,8.136718377552546,0.0528642829680739,8.0,0.5,LONG,298,True
CUPID,2025-12-23 00:00:00+05:30,469.0,3886401.15,0.5485989492119092,,-0.03739131088075388,0.5133693661462906,7.034035386276499,0.5290904940994521,15.632049708576885,0.5401563610519012,8.0,0.5,LONG,298,True
ASHOKLEY,2025-12-23 00:00:00+05:30,177.96,20435628.1,0.3552887162281478,,0.15284703709042752,0.4755460008758906,3.6570784333936306,0.5517304317415035,4.003118134996309,0.4008391398816401,8.0,0.5,LONG,298,True
NEXT50IETF,2025-12-23 00:00:00+05:30,72.46,519208.9,0.5564820991772296,,0.5463407675803039,0.421895203809012,2.6097775481653698,0.5642129904091187,1.4100443674263212,0.0230011960621743,5.0,1.5,LONG,298,True
SILGO,2025-12-23 00:00:00+05:30,75.32,229966.0,0.016732811326826132,,0.43207802959029534,0.39070238518843897,7.00066491170318,0.5222532169507959,2.7669713112437004,-0.2168525402726061,7.5,0.5,LONG,298,True
RICOAUTO,2025-12-23 00:00:00+05:30,127.29,17978624.35,0.016732811326826132,,0.4966023221642911,0.28838614505105414,6.736945217175628,0.5170722384199518,7.573763767537646,-0.0209495378008255,7.0,0.0,LONG,298,True
VOLTAS,2025-12-23 00:00:00+05:30,1385.6,602895.0,0.3090931312637497,,0.25287766692902613,0.2776801780666421,3.9600839410367943,0.527950905234621,31.30692405547644,0.0745765973825998,6.0,0.5,LONG,298,True
