symbol,timestamp,close,avg20_vol,bias,prob_up_1d,pred_ret_1d_pct,pred_ret_3d_pct,pred_ret_5d_pct,prob_up_5d,global_hits,actionable,hit_rate_1d_%,mae_1d_%,rmse_1d_%,pearson_r_1d,hit_rate_5d_%,mae_5d_%,rmse_5d_%,pearson_r_5d,D_atr14,D_cpr_width_pct,long_score,short_score,notes
DALBHARAT,2025-12-23 00:00:00+05:30,2059.4,208841.4,LONG,0.9146410401356698,,0.7207250960338273,1.744743796109093,0.6672420824358395,175,True,50.520833333333336,1.4204513852062015,1.8720702133096736,0.39102146896441,69.6969696969697,2.718276570242737,3.594819984050937,0.4604281642759009,41.30683591784421,0.5567964779385706,5.0,2.5,
HINDZINC,2025-12-23 00:00:00+05:30,609.8,11581739.3,LONG,0.9146410401356698,,1.7110553267543778,1.656666354133142,0.6303958138033277,377,True,51.04384133611691,1.39943769456948,2.1573089659292237,0.6599671343524405,68.18181818181819,3.379520975860172,5.303729211838854,0.4339871594528774,15.948931382274218,-0.1311905542800844,8.0,0.5,
SBISILVER,2025-12-23 00:00:00+05:30,206.97,3420480.6,LONG,0.9146410401356698,,1.7891175215704171,1.2788122532766273,0.6176490150236815,298,True,57.42296918767507,1.156607631946175,1.5881869365442034,0.7212148628046432,68.4931506849315,3.2312096741278524,4.28702339845728,0.234524965301945,5.706879578972157,-0.0628110354157585,8.0,0.5,
SULA,2025-12-23 00:00:00+05:30,216.04,258820.9,SHORT,0.9146410401356698,,1.3936658911162252,1.1665209112728698,0.5900516795131994,41,True,43.50828729281768,1.4707743610063455,2.1652193964944737,0.6440625628586284,59.73154362416108,3.664475212837503,5.5269563975152805,0.2421367147043342,5.349180991982963,-0.4798494106029856,1.0,5.0,
BALAJITELE,2025-12-23 00:00:00+05:30,111.49,216652.15,LONG,0.9146410401356698,,-0.3174049642798759,-0.6326215884167335,0.4641618914677239,231,True,46.91358024691358,2.129569734276872,3.0109892550695205,0.7379267545332902,62.755102040816325,4.962139962094429,6.491005928368206,0.4274568371623428,5.968194580454223,0.3079498908721264,4.5,1.0,
ASIANPAINT,2025-12-23 00:00:00+05:30,2807.8,1097821.95,LONG,0.8986710963455149,,1.5495254127637716,2.771176150468215,0.8105881958786995,129,True,51.10178384050367,1.0710509318665498,1.462355883765043,0.2378154638803498,64.64646464646465,2.30094446458098,3.0087925489880494,0.3174593866375481,48.662872458864165,0.1602678253437178,6.0,1.5,
SHREDIGCEM,2025-12-23 00:00:00+05:30,90.23,360496.9,LONG,0.8986710963455149,,1.7840134156486194,2.600490421934647,0.725920792907995,175,True,48.21802935010482,1.4179344737579611,1.9930065789511455,0.7392340003490332,64.46700507614213,3.195887317111563,4.217870536020073,0.4531002483353018,0.9804267640307388,-0.0775795190069746,6.5,2.0,
HINDCOPPER,2025-12-23 00:00:00+05:30,407.8,18462549.1,LONG,0.8986710963455149,,1.5820530932546857,1.5348244486162843,0.6036255682516856,298,True,51.738241308793455,1.8920372678543311,2.711004990474855,0.7134697389920892,63.63636363636363,4.383608616381996,5.571931527547392,0.4659506674676832,14.996790259316493,-0.2125224783390569,8.0,0.5,
PNBGILTS,2025-12-23 00:00:00+05:30,80.13,250537.55,SHORT,0.8986710963455149,,1.3631795281478007,0.8900155505032479,0.5749513184863189,25,True,49.79253112033195,1.477689464507402,2.3920291863090446,0.6672949372200152,62.43654822335025,3.43023590131352,4.71527608912881,0.4634053374195997,2.432326088430811,-0.4742293772619437,1.5,5.0,
CUB,2025-12-23 00:00:00+05:30,288.6,2309298.5,LONG,0.893348623853211,,-0.0210306444184395,0.2220484231854661,0.5205956727147578,377,True,51.96280991735537,1.3765962668798997,1.943506232088627,0.698795275041199,61.11111111111112,3.3656042637008703,4.243147297819552,0.4256789194278199,8.871106399278512,0.6468006468006494,9.0,0.5,
SILVERIETF,2025-12-23 00:00:00+05:30,210.38,7340642.55,LONG,0.8817879571481345,,2.6810009687149274,2.560784542105728,0.7724808307714659,469,True,52.72727272727273,1.0105994593866916,1.329979274902372,0.7097888017041379,63.21243523316062,2.784516735113344,3.569467277187152,0.3050235611736147,6.13785616972083,-0.6321893716132637,8.0,0.5,
VERTOZ,2025-12-23 00:00:00+05:30,73.9,212474.6,LONG,0.8817879571481345,,1.1681359775027989,1.7558586356313384,0.6305154171384755,92,True,41.07142857142857,1.7821978087221395,2.6214586933687345,0.707739368306597,68.18181818181819,4.174563428378957,6.134276053729477,0.0943164817148322,2.351615348287585,0.3834009923319775,2.5,2.0,
HDFCNIFBAN,2025-12-23 00:00:00+05:30,60.78,257849.7,LONG,0.8817879571481345,,1.2844753483128144,1.5383943331336227,0.7381625344874678,298,True,53.95987328405491,0.7860111806458113,1.026865368457342,0.3541400973411172,59.09090909090909,1.8220409470115235,2.307148797761093,0.2927774399797897,0.5856646227435722,-0.0493583415597254,8.0,0.5,
HINDALCO,2025-12-23 00:00:00+05:30,863.85,4133760.8,LONG,0.8817879571481345,,1.02998536062447,0.913310897785696,0.5876777500620718,377,True,53.97316821465428,1.3621315236407965,1.915720858686051,0.6910493125651328,62.62626262626262,3.2107455131662728,4.145879962461362,0.3549607706838932,16.3867889854108,-0.1910053828789825,7.5,0.5,
PINELABS,2025-12-23 00:00:00+05:30,234.11,2426380.25,LONG,0.8732503888024883,,0.7136423308239218,0.2285280254628599,0.524830452667346,175,True,39.285714285714285,1.8214474356888664,2.476235359078137,0.742291636098422,80.0,4.002572684315747,4.289131852164219,0.2144111958377513,15.031681990098038,-0.2392037930887199,3.0,3.0,
VPRPL,2025-12-23 00:00:00+05:30,59.44,2497330.1,SHORT,0.8673066064370413,,7.743155493495836,6.5837443218418,0.8274034407184052,7,True,44.34470377019748,2.218776761028121,3.088688509384141,0.7218909076308462,60.17699115044248,5.474007754310294,7.303069840461847,0.3964141923400588,4.540370098868697,-2.2151188873934675,0.0,4.5,
SPARC,2025-12-23 00:00:00+05:30,134.01,13026660.5,SHORT,0.8673066064370413,,5.319155038547229,4.647562902029048,0.7745124666495629,7,True,44.74226804123711,1.968211452320494,2.860487636344573,0.6860480769207161,62.94416243654823,4.297840824916082,5.963322787773459,0.5644550303980795,7.486904122241976,-2.1565554809342484,1.5,2.0,
SMCGLOBAL,2025-12-23 00:00:00+05:30,85.56,2237970.3,LONG,0.8673066064370413,,5.265319469594664,4.484641365747953,0.8207285428468419,231,True,47.67321613236815,1.427037748458042,2.141248474702875,0.635922073127774,61.11111111111112,3.425957576360194,4.974257395831822,0.3335686220302673,3.908908375024759,-1.6284868318529044,7.5,0.0,
GROWWSLVR,2025-12-23 00:00:00+05:30,207.82,674511.0,LONG,0.8673066064370413,,2.1272110244288114,2.0459889990592703,0.6395223212714813,469,True,58.04195804195804,1.5368314423450316,2.2272584292476227,0.7243371920910925,68.96551724137932,4.5101531297325685,6.082906011442654,0.408880265073318,5.564573654991224,-0.2566323420909248,8.0,0.5,
BBOX,2025-12-23 00:00:00+05:30,514.65,332973.55,LONG,0.8673066064370413,,3.3060551009703487,1.856062067807965,0.6023125537024008,129,True,44.809866392600206,2.20995956790634,3.053451224774746,0.7356084427432318,61.61616161616162,4.911236930254605,6.592260661157747,0.4970416315524146,19.2606594681508,-1.3860552479031265,4.5,1.5,
MUTHOOTFIN,2025-12-23 00:00:00+05:30,3808.2,348802.0,LONG,0.8673066064370413,,0.6943581832729693,0.9805468758666994,0.6086329293542,377,True,51.92107995846314,1.3172313367458752,1.811931093124564,0.3907647575131495,62.121212121212125,2.629489538318488,3.4077733657531035,0.458153194058042,71.24298915278968,0.231955604572581,8.0,0.5,
MOTILALOFS,2025-12-23 00:00:00+05:30,881.05,1240946.45,LONG,0.8673066064370413,,0.7900683188496134,0.4357697601808941,0.5312712111584765,63,True,48.71001031991744,1.8635875623526248,2.530122596951259,0.7248981458357401,60.60606060606061,4.10552317742197,5.398491597189233,0.4510433268345115,28.08800362466553,-0.1778181336662625,3.0,2.5,
APOLLO,2025-12-23 00:00:00+05:30,262.25,2708438.7,LONG,0.8673066064370413,,-1.8574207873213708,-2.759077693405931,0.364639050351857,375,True,48.37696335078534,2.476410196939242,3.3275219901689117,0.7442658892221807,68.52791878172589,5.662865552630008,8.303157652408945,0.5062704990799654,11.119096364094595,1.1757229107086258,6.2,0.7,
DIGITIDE,2025-12-23 00:00:00+05:30,134.45,223194.75,SHORT,0.8511176718684099,,1.3034344683834598,0.7701601059273067,0.5490365336645138,7,True,38.80597014925373,2.239223031980987,2.7577508846232166,0.8212887490160787,77.77777777777777,4.921896119964394,6.0060112942152175,0.6108960674613182,5.9178735687315775,-0.2727160034709366,1.0,2.5,
SDBL,2025-12-23 00:00:00+05:30,107.16,455044.15,SHORT,0.8497109826589595,,1.417420713749285,1.0990647772180515,0.5710988443463194,63,True,49.12099276111686,2.091158388014678,2.782440487968277,0.7540725462068903,68.36734693877551,4.543464456790093,5.872098291680664,0.4258080011286999,3.0583629666656864,-0.3235037949483879,1.5,5.0,
INOXWIND,2025-12-23 00:00:00+05:30,127.1,6594212.9,SHORT,0.8497109826589595,,1.0236637235289594,0.5330211214204678,0.5302364706456832,129,True,49.64028776978417,2.188857353659317,3.057711057470683,0.6899083853842546,59.5959595959596,5.332225158483289,6.997715197839469,0.3265072345569871,3.6820912815428897,-0.1521111985313359,2.5,5.0,
CANHLIFE,2025-12-23 00:00:00+05:30,141.09,1549343.15,LONG,0.844671201814059,,4.879652951739173,4.498560468671704,0.8395578132963971,298,True,53.333333333333336,1.298288071677101,1.831450964305032,0.6710727596636938,66.66666666666667,3.80864228779024,4.8908384479785925,0.2088679425737563,5.498874995221142,-1.9018593332860847,6.0,1.5,
GUJGASLTD,2025-12-23 00:00:00+05:30,396.65,384632.8,SHORT,0.844671201814059,,1.9818223396163448,3.0657421632162856,0.7777074714683714,63,True,50.51546391752577,1.3116910115722218,1.8077270812959072,0.6145275140397768,65.65656565656566,2.864179433732055,3.892475919808269,0.4137177678456789,8.337829705673308,-0.0462204294298232,1.5,4.0,
